,Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
64,Guinea,GIN,996.3,1022.3,1052.2,1081.9,1119.1,1158.7,1227.7,1286.8,1361.2,1432.1,1490.9,1565.4,1627.6,1703.4,1769.0,1834.0,1901.0,1977.1,2011.5,2121.8,2499.5,2623.1,2484.7,2176.9,2243.3,2540.1,2823.3,3340.5,3752.5,3954.6
65,"Gambia, The",GMB,194.0,197.6,197.6,206.6,206.7,216.4,219.4,228.7,244.7,259.6,244.2,308.0,298.9,298.6,317.3,332.6,360.7,413.2,432.0,489.6,438.7,452.3,461.0,439.1,516.0,529.0,533.2,541.0,548.3,577.4
66,Guinea-Bissau,GNB,171.5,172.7,177.1,184.7,183.2,184.5,176.7,196.8,172.3,191.4,146.6,147.9,153.3,194.6,205.0,209.3,216.6,229.7,223.5,234.3,240.7,243.6,247.5,249.4,265.6,283.9,306.9,308.3,315.0,330.8
67,Equatorial Guinea,GNQ,63.4,66.5,895.8,959.4,1032.1,1095.5,1194.0,1653.8,1972.0,3233.8,2215.4,3401.8,4630.8,5010.1,6201.6,8321.9,9372.4,8538.3,9777.3,9711.9,9949.4,9992.3,9819.4,9183.9,7907.5,6567.5,6655.1,5795.4,6428.7,5351.8
68,Greece,GRC,75619.4,75818.0,78176.9,78090.9,79730.8,82834.5,82753.7,83761.7,87127.2,87395.5,94460.6,96607.8,96596.2,100216.6,99844.6,101947.3,100702.8,104309.9,100405.6,94740.2,87578.5,84547.2,80085.3,72484.2,69548.7,68010.2,66848.6,66795.5,65021.2,59996.8
69,Grenada,GRD,112.0,118.9,165.0,148.3,155.3,171.0,189.0,201.6,224.1,224.0,208.9,226.1,244.5,251.2,233.3,246.0,260.1,275.1,290.7,806.4,288.0,306.7,413.1,317.5,253.9,273.0,277.9,288.2,321.1,325.0
70,Guatemala,GTM,3932.0,4031.5,4828.5,5108.4,5432.5,6353.1,6185.9,6550.3,8286.1,8199.3,9417.6,9814.3,10468.7,10542.9,10754.7,11528.7,11521.2,12410.1,11240.3,11852.3,11442.3,11736.4,12145.2,13004.6,13947.1,16335.3,17490.3,16573.8,18318.0,19313.0
71,Guyana,GUY,1171.9,1144.2,1080.7,1087.0,1413.1,1530.6,1580.0,1722.2,1747.6,1735.8,1660.3,1643.8,1621.9,1617.8,1671.7,1481.6,1332.8,1605.2,1603.7,1627.2,1759.3,1831.6,2000.8,1975.6,2063.389,2079.93,2478.6,2473.8,2587.1,2846.2
72,Honduras,HND,2453.7,2454.6,2734.2,2900.7,3252.1,3868.5,3904.6,4036.7,4679.0,4745.2,4987.2,5800.1,6087.8,6726.2,7557.8,6973.6,7974.5,8536.1,8587.1,8072.9,8181.3,8814.1,9238.1,9371.3,9464.9,9930.2,9465.3,9263.9,10048.8,10219.6
73,Croatia,HRV,20341.4,14744.9,15036.6,15541.2,14871.4,15457.1,15257.8,17073.6,18532.0,18518.6,18040.4,19203.0,20281.7,21613.9,21099.7,21453.0,21605.3,22879.0,21731.3,20308.9,19460.3,19031.6,17409.0,17010.6,16236.4,16602.3,16876.8,17407.9,16433.4,16523.3
74,Haiti,HTI,1020.42,1001.6,901.01,694.5,189.0,902.3,1058.2,1274.2,1310.0,1381.7,1473.3,1600.5,1827.2,1810.3,1666.8,1704.8,1718.8,2045.4,2029.3,1991.4,2458.2,2697.54,2415.34,2650.86,3021.14,3280.44,3364.54,3326.24,3289.74,3317.34
75,Hungary,HUN,67421.0,64552.2,58001.9,58382.4,57784.3,57431.3,58454.9,56990.1,57353.3,57910.5,54633.3,56280.4,55599.9,58186.9,56349.8,55921.2,55457.5,53850.4,53014.2,47839.1,47880.5,46907.3,43427.2,40762.6,40625.2,43384.1,44248.4,46435.2,46396.0,46382.3
76,Indonesia,IDN,148531.5,162401.2,171506.5,185087.0,199175.5,223678.5,236716.8,261156.6,262704.8,279482.7,280645.1,302064.2,305642.4,333887.5,341244.7,342147.9,364466.9,379956.5,376137.7,391082.6,415516.5,475314.4,481506.1,447942.0,483911.9,488548.0,482508.0,517323.6,576991.5,619840.7
77,India,IND,563577.2,607225.8,626294.3,651351.7,685903.4,737856.8,774070.6,819269.2,836270.2,901325.6,937858.7,953537.6,985453.6,1011771.0,1085667.0,1136467.0,1215206.0,1336737.0,1424383.0,1564881.0,1659983.0,1756744.0,1909443.0,1972430.0,2147108.0,2158024.0,2195249.0,2320405.0,2451927.0,2456301.0
78,Ireland,IRL,30961.5,31466.7,31505.4,31653.6,32818.7,33448.2,34821.2,35972.5,38419.0,39973.3,42533.5,44815.3,43929.8,44086.8,44687.6,46650.5,47263.3,46355.8,45780.1,40564.6,40188.5,36681.3,37127.9,35709.3,35525.3,37063.0,38824.8,37778.5,37661.7,35750.9
79,"Iran, Islamic Rep.",IRN,198468.7,219098.1,233647.8,236725.9,266693.9,271516.5,279808.9,292395.5,290994.9,323358.0,340453.4,354065.9,369873.4,389774.0,417657.4,450792.6,484175.8,514139.9,523045.3,542294.2,541168.0,552047.8,559119.1,583700.1,605352.8,599180.4,607211.9,626423.1,637429.0,630014.4
80,Iraq,IRQ,64206.0,45545.1,67338.2,89561.9,102115.8,100068.6,98880.6,118909.8,91783.6,72713.9,87630.0,97552.8,91164.3,81277.6,88107.7,85127.4,82957.5,76649.6,88135.7,94204.9,108549.6,113039.1,129003.3,139102.6,134044.8,133168.4,142232.6,155082.6,163150.1,174558.5
81,Iceland,ISL,1947.46,1913.98,1944.8,1983.65,2090.64,2001.14,2266.72,2153.97,2153.38,2115.39,2225.44,2163.29,2243.77,2226.41,2319.29,2289.35,2333.65,2382.97,2182.63,2108.0,1959.124,1888.35,1859.9,2031.8,2047.5,2057.5,1630.7,1672.5,1695.8,1636.3
82,Israel,ISR,33805.9,34523.6,36857.3,40504.6,43361.2,46775.3,48734.1,50967.4,51504.7,52983.6,56997.3,57952.5,61080.6,62925.5,63159.9,61012.4,64331.0,66597.9,66708.0,65727.7,70520.3,69822.8,76063.2,67002.5,64717.8,66142.0,64980.2,65613.7,61076.7,62650.3
83,Italy,ITA,405262.0,404074.1,402274.3,396927.9,392285.5,416415.0,412153.5,415517.3,426372.2,433010.6,436296.6,436571.4,443473.1,462197.8,472404.8,473831.8,466654.5,459371.1,444984.5,397057.1,405272.3,396687.4,376747.2,346458.3,327498.0,337862.1,333344.8,329193.3,324884.2,317238.6
84,Jamaica,JAM,7466.8,7405.3,8145.3,8323.9,8378.4,8679.6,9044.4,9197.9,9724.7,9980.0,10065.0,10083.0,10248.1,10593.7,10571.8,10563.5,12059.6,12023.1,9619.0,7879.4,7476.7,7532.6,6959.0,7402.3,7191.3,7088.7,7573.9,7218.7,8611.0,8394.4
